cas,temperatura
2025-04-23 15:22:42.078324,23.83
2025-04-23 15:22:52.078324,25.97
2025-04-23 15:23:02.078324,29.51
2025-04-23 15:23:12.078324,20.95
2025-04-23 15:23:22.078324,24.01
2025-04-23 15:23:32.078324,24.57
2025-04-23 15:23:42.078324,22.26
2025-04-23 15:23:52.078324,23.79
2025-04-23 15:24:02.078324,20.42
2025-04-23 15:24:12.078324,21.03
2025-04-23 15:24:22.078324,27.04
2025-04-23 15:24:32.078324,20.04
2025-04-23 15:24:42.078324,26.95
2025-04-23 15:24:52.078324,21.85
2025-04-23 15:25:02.078324,20.49
2025-04-23 15:25:12.078324,20.65
2025-04-23 15:25:22.078324,28.96
2025-04-23 15:25:32.078324,29.31
2025-04-23 15:25:42.078324,26.38
2025-04-23 15:25:52.078324,22.46
2025-04-23 15:26:02.078324,21.89
2025-04-23 15:26:12.078324,21.04
2025-04-23 15:26:22.078324,28.65
2025-04-23 15:26:32.078324,22.27
2025-04-23 15:26:42.078324,23.19
2025-04-23 15:26:52.078324,23.31
2025-04-23 15:27:02.078324,27.61
2025-04-23 15:27:12.078324,21.0
2025-04-23 15:27:22.078324,22.62
2025-04-23 15:27:32.078324,28.19
2025-04-23 15:27:42.078324,21.44
2025-04-23 15:27:52.078324,22.47
2025-04-23 15:28:02.078324,29.75
2025-04-23 15:28:12.078324,24.61
2025-04-23 15:28:22.078324,21.3
2025-04-23 15:28:32.078324,24.02
2025-04-23 15:28:42.078324,23.31
2025-04-23 15:28:52.078324,21.51
2025-04-23 15:29:02.078324,22.33
2025-04-23 15:29:12.078324,27.85
2025-04-23 15:29:22.078324,25.47
2025-04-23 15:29:32.078324,24.52
2025-04-23 15:29:42.078324,23.92
2025-04-23 15:29:52.078324,23.83
2025-04-23 15:30:02.078324,20.4
2025-04-23 15:30:12.078324,26.56
2025-04-23 15:30:22.078324,20.23
2025-04-23 15:30:32.078324,22.34
2025-04-23 15:30:42.078324,25.81
2025-04-23 15:30:52.078324,29.23
